Country,Year,Metric,Value,Source
Nigeria,2025,Use Insights,Remittances/payments (mobile-first, 74% under 30); inflation hedging; 19 new licenses in sandbox; BTC 13%/47% owners, ETH 7%, DOGE 5%, ADA 3%, USDT high; >63.87% monthly wage spent,"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; BuyBitcoinWorldwide, https://www.buybitcoinworldwide.com/statistics/; CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
Nigeria,2024,Total Volume (USD Billion),>0.33,"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
Nigeria,2025,Total Volume (USD Billion),N/A (regional: $2.36T for Sub-Saharan),"Chainalysis 2025 Global Crypto Adoption Index, https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/"
Nigeria,2025,Avg Wallet Value Proxy (USD),87.4 (ARPU),"Statista, https://www.statista.com/statistics/1482583/cryptocurrency-market-size-by-country/"
Nigeria,2025,Avg Wallet Value Proxy (USD),>63.87% monthly wage (~$150–$200 est.),"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
India,2023,User Numbers,93.54 million,"Triple-A, https://triple-a.io/cryptocurrency-ownership-data"
India,2024,User Numbers,>90 million,"PatentPC, https://patentpc.com/blog/cryptocurrency-adoption-around-the-world"
India,2025,User Numbers,56 million (WazirX + CoinDCX); 107.3 million (total estimate),"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; Medium, https://medium.com/@bitcoinisthefuture/cryptocurrency-statistics-2025/"
India,2023,Adoption Rate,6.55% (of population),"Triple-A, https://triple-a.io/cryptocurrency-ownership-data"
India,2024,Adoption Rate,N/A,"PatentPC, https://patentpc.com/blog/cryptocurrency-adoption-around-the-world"
India,2025,Adoption Rate,29% (overall); 16% (wallet penetration among internet users); 27% (ownership rise from 2023),"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; Medium, https://medium.com/@bitcoinisthefuture/cryptocurrency-statistics-2025/; BuyBitcoinWorldwide, https://www.buybitcoinworldwide.com/statistics/"
India,2025,Chainalysis Index Rank,1 (Overall, Score: 1.00; Retail CEX: 1; CEX: 1; DeFi: 1; Institutional CEX: 1),"Chainalysis 2025 Global Crypto Adoption Index, https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/"
India,2025,Use Insights,Investments/DeFi (rural growth 33.1% YoY; 78% male); remittances; 30% tax (may drop to 15%); BTC 8%/28% owners, ETH 6%, DOGE 6%, ADA 6%, BNB high; rural internet 51.5%,"CoinLaw, https://coinlaw.io/cryptocurrency-adoption-statistics; Medium, https://medium.com/@bitcoinisthefuture/cryptocurrency-statistics-2025/; CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
India,2025,CEX Volume (USD Billion),1.3,"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
India,2025,DEX Volume (USD Billion),0.758,"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/"
India,2025,Total Volume (USD Billion),2.058 (regional: $2.36T for APAC),"CryptoNinjas, https://www.cryptoninjas.net/cryptocurrency-statistics/; Chainalysis 2025 Global Crypto Adoption Index, https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/"
India,2025,Avg Wallet Value Proxy (USD),81.2 (ARPU),"Statista, https://www.statista.com/statistics/1482583/cryptocurrency-market-size-by-country/"
